,DEPTH,DT,GR,NPHI,RD,RHOB,ROP5_RM,RS,RT,KLOGH,PHIF,SW,VSH,pp_bar,pp_psi
828,3228.2892,87.0096969,48.0498008,0.20049999,38.6678009,2.22839999,14.9499998,32.7000007,38.3036003,12.7132997,0.23469999,0.13899999,0.3082,324.8599440729464,4711.7036568452
829,3228.4416,87.351799,48.1655998,0.20399999,37.8235015,2.22230005,14.9499998,31.8251991,38.3372001,13.2545995,0.23819999,0.1374,0.3093,324.85129215872905,4711.578171211774
830,3228.594,87.0121002,48.2890014,0.20309999,37.0432014,2.22000002,14.9425001,31.1177997,37.821701,13.0374002,0.2387,0.13799999,0.31049999,324.8383838718133,4711.390952000005
831,3228.7464,86.7473983,48.4169998,0.19939999,36.3025016,2.22000002,14.9302997,30.5142993,36.9651985,12.3683996,0.2372,0.14,0.31169998,324.8266092624825,4711.220175421194
832,3228.8988,86.8339996,48.5449981,0.1957,35.561798,2.22000002,14.9181003,29.9106998,36.1086997,11.7335996,0.23569999,0.1421,0.3129,324.8159683307368,4711.06584147534
833,3229.0512,87.1961975,49.0242004,0.19339999,34.9665985,2.22099995,14.9181995,29.8908996,35.8297996,10.4145002,0.2344,0.14329999,0.31749999,324.80646107657594,4710.927950162442
834,3229.2036,87.8795013,50.1977005,0.1937,34.658699,2.22410011,14.9426002,31.0247993,36.6924018,8.10410022,0.2335,0.14259999,0.32879999,324.7980875,4710.8065014825
835,3229.356,87.3757019,51.3712005,0.194,34.3508987,2.22709989,14.967,32.1585998,37.5550003,6.30620002,0.2326,0.142,0.34009999,324.79084760100915,4710.701495435516
836,3229.5084,87.0226974,52.3711013,0.19429999,34.0116004,2.23000001,14.9906997,33.3078994,38.3693008,5.08549976,0.2317,0.14139999,0.3497,324.7847413796032,4710.612932021489
837,3229.6608,87.1845016,50.3959999,0.1948,33.1338005,2.23000001,15.0029001,34.7221984,38.3571014,7.56169986,0.2319,0.1409,0.33070001,324.7797688357822,4710.5408112404175
838,3229.8132,87.1705017,48.4208984,0.19519999,32.2560005,2.23000001,15.0150995,36.1365013,38.3448982,11.2437,0.23209999,0.1403,0.31169998,324.77592996954616,4710.485133092304
839,3229.9656,86.4368972,46.4458007,0.1956,31.3782005,2.23000001,15.0272998,37.5508003,38.3326988,16.7185001,0.23219999,0.13969999,0.29269999,324.77322478089513,4710.445897577147
840,3230.118,87.9389038,46.1581001,0.1956,30.9085998,2.23000001,15.0299997,38.3160018,38.3748016,17.6989994,0.23219999,0.13959999,0.28999999,324.771653269829,4710.423104694946
841,3230.2704,87.1498031,46.3623008,0.19539999,30.5580997,2.23000001,15.0299997,38.8921012,38.4328002,16.9703998,0.23219999,0.13959999,0.2919,324.77155032710573,4710.421611634276
842,3230.4228,84.582901,46.5666007,0.19519999,30.2075996,2.23000001,15.0299997,39.4682006,38.4906997,16.2716999,0.23209999,0.13959999,0.29390001,324.77325084348314,4710.446275583711
843,3230.5752,85.1608963,46.4444007,0.1902,29.9246997,2.23900008,15.0270004,39.8592987,38.8297996,15.1815004,0.22699999,0.14149999,0.29269999,324.7767548189613,4710.497096543251
844,3230.7276,84.6275024,45.9872016,0.18029999,29.711399,2.2572999,15.0208997,40.0603981,39.4576988,13.7727003,0.2168,0.1456,0.2883,324.7820622535402,4710.574074512896
845,3230.88,83.9863967,45.5299987,0.17039999,29.4979991,2.27559995,15.0148,40.2616004,40.0856018,12.4947004,0.20649999,0.15009999,0.28389999,324.7891731472197,4710.677209492645
846,3231.0324,82.0351028,44.8867988,0.16349999,29.3286991,2.28609991,15.0087003,40.0694007,40.8697013,12.6308002,0.2002,0.1525,0.27779999,324.7980875,4710.8065014825
847,3231.1848,83.0335998,43.5549011,0.16769999,29.3225994,2.26780009,15.0025997,38.4205017,42.2321014,19.0643997,0.2081,0.1456,0.26499998,324.8088053118809,4710.961950482459
848,3231.3372,82.5242004,42.2229003,0.1718,29.3164997,2.24950003,14.9965,36.7714996,43.5946006,28.7749004,0.216,0.1392,0.25209999,324.82132658286264,4711.143556492523
849,3231.4896,84.3107986,40.8908996,0.17599999,29.3104,2.23119997,14.9904003,35.1225013,44.9570007,43.4315986,0.224,0.1333,0.23929999,324.835651312945,4711.351319512692
850,3231.642,86.2434997,42.6318016,0.1754,27.9808998,2.24419999,14.9956998,34.3454017,42.8944015,28.1597003,0.2193,0.1386,0.25609999,324.8517795021281,4711.585239542966
851,3231.7944,83.0115966,44.5978012,0.1744,26.5543994,2.25939989,15.0017995,33.6321983,40.5810012,17.1623001,0.21369999,0.14519999,0.275,324.869711150412,4711.845316583345
852,3231.9468,81.7416992,46.5637016,0.17339999,25.1280002,2.27469992,15.0079002,32.9189987,38.267601,10.4597997,0.2081,0.1524,0.29390001,324.8894462577965,4712.13155063383
853,3232.0992,78.9404983,49.7775993,0.17419999,24.5545997,2.28990006,15.0100002,34.1441001,36.154499,5.03569984,0.20309999,0.15999999,0.32480001,324.9109848242817,4712.443941694417
854,3232.2516,78.0257034,53.6608009,0.17589999,24.4388008,2.30520009,15.0100002,36.4087982,34.148899,2.13639998,0.19859999,0.16799999,0.3621,324.93432684986766,4712.782489765111
855,3232.404,82.4380035,57.5438995,0.17759999,24.3229999,2.32039999,15.0100002,38.6734008,32.1433982,0.90640002,0.1941,0.17679999,0.39950001,324.9594723345543,4713.147194845908
856,3232.5564,81.6138992,62.0508995,0.18029999,24.4890995,2.33340001,15.0076999,37.0713005,28.6669006,0.34689998,0.19069999,0.1897,0.44279998,324.9864212783416,4713.538056936811
857,3232.7088,81.3357009,67.6195983,0.18449999,25.1352996,2.34249997,15.0016002,28.8873996,22.6867008,0.1114,0.18919999,0.2124,0.49630001,325.01517368122967,4713.955076037819
858,3232.8612,81.596199,73.1882019,0.1888,25.7814998,2.35170006,14.9955997,20.7035999,16.706499,0.03579999,0.1878,0.2451,0.54989999,325.04572954321844,4714.3982521489315
859,3233.0136,82.0924987,78.1798019,0.19349999,26.2593002,2.35700011,14.9877996,13.2122001,11.3612003,0.01319999,0.1879,0.2899,0.59789997,325.078088864308,4714.86758527015
860,3233.166,84.6593017,77.2806015,0.20309999,25.0188007,2.32349991,14.9633998,12.7884998,12.4949998,0.02099999,0.20319999,0.26089999,0.58920001,325.1122516444981,4715.363075401471
861,3233.3184,87.4870986,76.381401,0.21259999,23.7782001,2.28999996,14.9391002,12.3648996,13.6288995,0.0333,0.2185,0.2368,0.58060002,325.14821788378896,4715.884722542898
862,3233.4708,88.2179031,75.4822998,0.2221,22.5377006,2.2564001,14.9146995,11.9412002,14.7627,0.05279999,0.23379999,0.21639999,0.57190001,325.18598758218064,4716.4325266944315
863,3233.6232,90.4702987,75.1029968,0.2274,22.0708999,2.24259996,14.9050998,12.9713001,15.9656,0.06459999,0.2407,0.2045,0.5683,325.2255607396729,4717.006487856068
864,3233.7756,90.708702,74.8470001,0.2318,21.7873992,2.2335,14.8990001,14.3458995,17.1847991,0.0744,0.24549999,0.19509999,0.56580001,325.2669373562659,4717.606606027809
865,3233.928,90.8830032,74.5910034,0.2362,21.5039005,2.2242999,14.8929004,15.7206001,18.4039993,0.08569999,0.2504,0.18659999,0.56339997,325.31011743195967,4718.232881209657
866,3234.0804,90.8100967,75.4300003,0.23819999,21.4617004,2.2184,14.9028997,16.9505004,19.5170993,0.07639999,0.25330001,0.1808,0.57139998,325.3551009667541,4718.885313401608
867,3234.2328,91.1510009,77.2496032,0.2381,21.6354007,2.21530008,14.9272003,18.0508003,20.5351009,0.05409999,0.25429999,0.1771,0.58890002,325.39851658196477,4719.5150048015
868,3234.3852,91.1792984,79.0692977,0.2379,21.8090991,2.21230006,14.9516,19.1511001,21.5531005,0.0384,0.25519999,0.1736,0.60640001,325.4369928989072,4720.07305760717
869,3234.5376,91.9590988,80.0715026,0.2388,22.0881004,2.2084999,14.9729995,20.3145999,22.5629005,0.0324,0.25690001,0.16979999,0.61610001,325.47052991758136,4720.559471818617
870,3234.69,92.3544006,78.5780029,0.24269999,22.6886005,2.20239996,14.9851999,21.6709995,23.5473995,0.0467,0.26050001,0.16449999,0.6017,325.4991276379873,4720.974247435841
871,3234.8424,93.6395034,77.0845031,0.2466,23.2891006,2.19630002,14.9974002,23.027399,24.5319004,0.06719999,0.2642,0.1595,0.58740001,325.52278606012493,4721.31738445884
872,3234.9948,93.1483993,75.5910034,0.25060001,23.8894996,2.19020009,15.0095996,24.3836994,25.5163993,0.09679999,0.26789999,0.15479999,0.57300001,325.54150518399433,4721.588882887617
873,3235.1472,92.6444015,75.2102966,0.2486,24.5900993,2.19589996,15.0100002,25.2042999,26.4214,0.09929999,0.2651,0.15379999,0.56929999,325.5552850095956,4721.788742722172
874,3235.2996,93.6330032,74.8688964,0.24629999,25.2940998,2.2019999,15.0100002,26.0058994,27.3236007,0.10059999,0.26210001,0.15309999,0.56599998,325.56412553692843,4721.916963962502
875,3235.452,92.5093994,74.5274963,0.2441,25.9981994,2.20810008,15.0100002,26.8075008,28.2257995,0.10189999,0.2592,0.1524,0.56279999,325.56802676599307,4721.97354660861
876,3235.6044,90.9147033,73.9418029,0.24099999,26.7315998,2.21630001,15.0121002,27.6175003,28.8565998,0.10629999,0.25510001,0.15279999,0.55709999,325.5669886967895,4721.958490660496
877,3235.7568,90.0867004,73.2438964,0.23739999,27.4783,2.22539997,15.0150995,28.4312992,29.3626003,0.1124,0.25060001,0.15379999,0.55040001,325.5610113293177,4721.871796118158
878,3235.9092,89.5504989,72.5458984,0.23389999,28.2250995,2.23460006,15.0181999,29.2451,29.8684997,0.11869999,0.246,0.15479999,0.54369997,325.5500946635776,4721.713462981597
